image,basename,rotate,flip_0,flip_1,source,species,modality
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#cgp5#5755#30#L_0000.nii.gz,mr#rh#11530#L#cgp5#5755#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#uk14#5781#30#L_0000.nii.gz,mr#rh#11530#L#uk14#5781#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#oxot#5775#30#L_0000.nii.gz,mr#rh#11530#L#oxot#5775#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#ampa#5761#30#L_0000.nii.gz,mr#rh#11530#L#ampa#5761#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#flum#5753#30#L_0000.nii.gz,mr#rh#11530#L#flum#5753#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#dpat#5785#30#L_0000.nii.gz,mr#rh#11530#L#dpat#5785#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#keta#5777#30#L_0000.nii.gz,mr#rh#11530#L#keta#5777#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#damp#5757#30#L_0000.nii.gz,mr#rh#11530#L#damp#5757#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#musc#5767#30#L_0000.nii.gz,mr#rh#11530#L#musc#5767#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#praz#5773#30#L_0000.nii.gz,mr#rh#11530#L#praz#5773#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#mk80#5765#30#L_0000.nii.gz,mr#rh#11530#L#mk80#5765#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_macaque/to_predict/mr#rh#11530#L#pire#5769#30#L_0000.nii.gz,mr#rh#11530#L#pire#5769#30#L,0,False,False,original,macaque,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/RG#hg#MR1s6#R#mk80#5683#11#L_crop_0000.nii.gz,RG#hg#MR1s6#R#mk80#5683#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#afdx#5673#11#L_crop_0000.nii.gz,QW#HG#MR1s1#R#afdx#5673#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/RD#HG#MR1s3#R#epib#5800#11#L_crop_0000.nii.gz,RD#HG#MR1s3#R#epib#5800#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#kain#5635#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#kain#5635#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#keta#5647#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#keta#5647#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/RF#hg#MR1s5#R#musc#6226#11#L_crop_0000.nii.gz,RF#hg#MR1s5#R#musc#6226#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1S1#R#dpmg#5665#16#L_crop_0000.nii.gz,QW#HG#MR1S1#R#dpmg#5665#16#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#dpat#5645#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#dpat#5645#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#afdx#5673#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#afdx#5673#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1S1#R#pire#9511#13#L_crop_0000.nii.gz,QW#HG#MR1S1#R#pire#9511#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1S1#R#flum#5669#13#L_crop_0000.nii.gz,QW#HG#MR1S1#R#flum#5669#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#praz#5649#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#praz#5649#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#ly34#5675#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#ly34#5675#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QY#HG#MR1s2#R#damp#6195#11#L_crop_0000.nii.gz,QY#HG#MR1s2#R#damp#6195#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/RF#HG#MR1S5#R#pire#9530#11#L_crop_0000.nii.gz,RF#HG#MR1S5#R#pire#9530#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#epib#5657#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#epib#5657#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#rx82#5653#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#rx82#5653#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#damp#5671#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#damp#5671#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#mk80#5637#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#mk80#5637#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/RG#hg#MR1s6#R#praz#5695#11#L_crop_0000.nii.gz,RG#hg#MR1s6#R#praz#5695#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#uk14#5651#11#L_crop_0000.nii.gz,QW#HG#MR1s1#R#uk14#5651#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QY#HG#MR1s2#R#ly34#6202#11#L_crop_0000.nii.gz,QY#HG#MR1s2#R#ly34#6202#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/RD#HG#MR1s3#R#cgp5#5820#10#L_crop_0000.nii.gz,RD#HG#MR1s3#R#cgp5#5820#10#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#oxot#5643#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#oxot#5643#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#uk14#5651#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#uk14#5651#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QY#HG#MR1s2#R#ampa#6119#11#L_crop_0000.nii.gz,QY#HG#MR1s2#R#ampa#6119#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/RG#hg#MR1s6#R#kain#5681#11#L_crop_0000.nii.gz,RG#hg#MR1s6#R#kain#5681#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#cgp5#5667#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#cgp5#5667#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#sr95#5677#11#L_crop_0000.nii.gz,QW#HG#MR1s1#R#sr95#5677#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#sr95#5677#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#sr95#5677#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1s1#R#musc#5639#13#L_crop_0000.nii.gz,QW#HG#MR1s1#R#musc#5639#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/RE#hg#MR1s4#R#dpmg#5909#11#L_crop_0000.nii.gz,RE#hg#MR1s4#R#dpmg#5909#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QY#HG#MR1s2#R#flum#6190#11#L_crop_0000.nii.gz,QY#HG#MR1s2#R#flum#6190#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/QW#HG#MR1S1#R#ampa#9381#13#L_crop_0000.nii.gz,QW#HG#MR1S1#R#ampa#9381#13#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/RD#HG#MR1s3#R#keta#5780#11#L_crop_0000.nii.gz,RD#HG#MR1s3#R#keta#5780#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/RE#hg#MR1s4#R#kain#5849#11#L_crop_0000.nii.gz,RE#hg#MR1s4#R#kain#5849#11#L,0,False,False,original,human,autoradiography
/home/tfunck/projects/nnUNet_validation/receptor_annotations_human/to_predict/RE#hg#MR1s4#R#rx82#5885#11#L_crop_0000.nii.gz,RE#hg#MR1s4#R#rx82#5885#11#L,0,False,False,original,human,autoradiography
image/RD#HG#MR1s3#R#damp#5827#03#L.png,RD#HG#MR1s3#R#damp#5827#03#L,0,False,False,ymha,human,autoradiography
image/RE#HG#MR1S4#R#flum#5918#14#L.png,RE#HG#MR1S4#R#flum#5918#14#L,0,False,False,ymha,human,autoradiography
image/QY#HG#MR1s2#R#sr95#6207#16#L.png,QY#HG#MR1s2#R#sr95#6207#16#L,0,False,False,ymha,human,autoradiography
image/RF#hg#MR1s5#R#kain#6219#12#L.png,RF#hg#MR1s5#R#kain#6219#12#L,0,False,False,ymha,human,autoradiography
image/mr#rh#11530#L#sch2#5779#30#L.TIF,mr#rh#11530#L#sch2#5779#30#L,0,False,False,ymha,macaque,autoradiography
image/RG#hg#MR1s6#R#sr95#5723#18#L.png,RG#hg#MR1s6#R#sr95#5723#18#L,0,False,False,ymha,human,autoradiography
image/RD#HG#MR1s3#R#ly34#5837#15#L.png,RD#HG#MR1s3#R#ly34#5837#15#L,0,False,False,ymha,human,autoradiography
image/RF#hg#MR1s5#R#epib#6264#20#L.png,RF#hg#MR1s5#R#epib#6264#20#L,0,False,False,ymha,human,autoradiography
image/QW#HG#MR1s1#R#epib#5657#06#L.png,QW#HG#MR1s1#R#epib#5657#06#L,0,False,False,ymha,human,autoradiography
image/QY#HG#MR1s2#R#rx82#6159#18#L.png,QY#HG#MR1s2#R#rx82#6159#18#L,0,False,False,ymha,human,autoradiography
image/RD#HG#MR1s3#R#rx82#5791#07#L.png,RD#HG#MR1s3#R#rx82#5791#07#L,0,False,False,ymha,human,autoradiography
image/QW#HG#MR1s1#R#musc#5640#20#L.png,QW#HG#MR1s1#R#musc#5640#20#L,0,False,False,ymha,human,autoradiography
image/RE#hg#MR1s4#R#musc#5858#18#L.png,RE#hg#MR1s4#R#musc#5858#18#L,0,False,False,ymha,human,autoradiography
image/RD#HG#MR1s3#R#epib#5801#16#L.png,RD#HG#MR1s3#R#epib#5801#16#L,0,False,False,ymha,human,autoradiography
image/QY#HG#MR1s2#R#musc#6132#22#L.png,QY#HG#MR1s2#R#musc#6132#22#L,0,False,False,ymha,human,autoradiography
image/RD#HG#MR1s3#R#keta#5779#01#L.png,RD#HG#MR1s3#R#keta#5779#01#L,0,False,False,ymha,human,autoradiography
image/QW#HG#MR1s1#R#sch2#5655#13#L_crop.png,QW#HG#MR1s1#R#sch2#5655#13#L,0,False,False,ymha,human,autoradiography
image/RE#hg#MR1s4#R#cgp5#5911#07#L.png,RE#hg#MR1s4#R#cgp5#5911#07#L,0,False,False,ymha,human,autoradiography
image/QW#HG#MR1S1#R#dpmg#5666#22#L.png,QW#HG#MR1S1#R#dpmg#5666#22#L,0,False,False,ymha,human,autoradiography
image/RE#hg#MR1s4#R#epib#5893#11#L.png,RE#hg#MR1s4#R#epib#5893#11#L,0,False,False,ymha,human,autoradiography
image/RE#hg#MR1s4#R#sch2#5887#02#L.png,RE#hg#MR1s4#R#sch2#5887#02#L,0,False,False,ymha,human,autoradiography
image/QY#HG#MR1s2#R#cgp5#6185#03#L.png,QY#HG#MR1s2#R#cgp5#6185#03#L,0,False,False,ymha,human,autoradiography
image/RG#hg#MR1s6#R#ampa#5680#21#L.png,RG#hg#MR1s6#R#ampa#5680#21#L,0,False,False,ymha,human,autoradiography
image/RG#hg#MR1s6#R#sr95#5723#05#L.png,RG#hg#MR1s6#R#sr95#5723#05#L,0,False,False,ymha,human,autoradiography
image/QW#HG#MR1s1#R#musc#5640#23#L.png,QW#HG#MR1s1#R#musc#5640#23#L,0,False,False,ymha,human,autoradiography
image/RF#hg#MR1s5#R#mk80#86224#21#L.png,RF#hg#MR1s5#R#mk80#86224#21#L,0,False,False,ymha,human,autoradiography
image/RF#hg#MR1s5#R#mk80#6221#03#L.png,RF#hg#MR1s5#R#mk80#6221#03#L,0,False,False,ymha,human,autoradiography
image/RF#hg#MR1s5#R#keta#6242#10#L.png,RF#hg#MR1s5#R#keta#6242#10#L,0,False,False,ymha,human,autoradiography
image/RD#HG#MR1s3#R#dpat#5775#04#L.png,RD#HG#MR1s3#R#dpat#5775#04#L,0,False,False,ymha,human,autoradiography
image/QY#HG#MR1s2#R#sch2#6162#11#L_crop.png,QY#HG#MR1s2#R#sch2#6162#11#L,0,False,False,ymha,human,autoradiography
image/RE#hg#MR1s4#R#ly34#5928#07#L.png,RE#hg#MR1s4#R#ly34#5928#07#L,0,False,False,ymha,human,autoradiography
image/RD#HG#MR1s3#R#afdx#5833#14#L.png,RD#HG#MR1s3#R#afdx#5833#14#L,0,False,False,ymha,human,autoradiography
image/RD#HG#MR1s3#R#keta#5779#05#L.png,RD#HG#MR1s3#R#keta#5779#05#L,0,False,False,ymha,human,autoradiography
image/QW#HG#MR1s1#R#dpat#5646#20#L.png,QW#HG#MR1s1#R#dpat#5646#20#L,0,False,False,ymha,human,autoradiography
image/RG#hg#MR1s6#R#sr95#5724#25#L.png,RG#hg#MR1s6#R#sr95#5724#25#L,0,False,False,ymha,human,autoradiography
image/QY#HG#MR1s2#R#dpat#6141#09#L.png,QY#HG#MR1s2#R#dpat#6141#09#L,0,False,False,ymha,human,autoradiography
image/RG#hg#MR1s6#R#praz#5695#16#L.png,RG#hg#MR1s6#R#praz#5695#16#L,0,False,False,ymha,human,autoradiography
image/crop,crop,0,False,False,ymha,human,autoradiography
image/RG#HG#MR1S6#R#flum#5715#08#L.png,RG#HG#MR1S6#R#flum#5715#08#L,0,False,False,ymha,human,autoradiography
image/RF#hg#MR1s5#R#epib#6261#03#L.png,RF#hg#MR1s5#R#epib#6261#03#L,0,False,False,ymha,human,autoradiography
image/RD#HG#MR1s3#R#sch2#5795#06#L.png,RD#HG#MR1s3#R#sch2#5795#06#L,0,False,False,ymha,human,autoradiography
image/RG#hg#MR1s6#R#cgp5#5713#17#L.png,RG#hg#MR1s6#R#cgp5#5713#17#L,0,False,False,ymha,human,autoradiography
image/RD#HG#MR1s3#R#dpat#5777#16#L.png,RD#HG#MR1s3#R#dpat#5777#16#L,0,False,False,ymha,human,autoradiography
